UUID;FILE;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;TAGS
68f03982-8bd1-4794-a286-bbb61f17315d;book3_thucydides_utf8.txt;Peloponnesians;char-offset:56;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
4e458de9-35e8-4022-8ab3-c5756578dc2c;book3_thucydides_utf8.txt;Archidamus;char-offset:124;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
4418a5f7-4252-4618-8870-19a79fe8885d;book3_thucydides_utf8.txt;Zeuxidamus;char-offset:143;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
355cf285-2cb5-4881-aa19-ea46f2a75da2;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:167;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
edeef4d7-5405-4431-a25b-5cbf73d470c0;book3_thucydides_utf8.txt;he Athenian horse;char-offset:223;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
8b963e9a-e59d-4a8d-8f9e-3df6d14257cd;book3_thucydides_utf8.txt;Peloponnesians;char-offset:572;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
aa6dc162-7ce8-445e-82ed-60e5c8072cba;book3_thucydides_utf8.txt;Lesbians;char-offset:649;PERSON;group|origin:Lesbos|pleiades:550696|side:Sparthan
4ef1c3be-331e-47f5-87ba-0cb3185b0073;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:708;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
246854c3-9427-41fd-800c-056c4adf82b4;book3_thucydides_utf8.txt;Tenedians;char-offset:1090;PERSON;group|origin:Tenedos|pleiades:550911|side:Athenian
8b32e956-52a6-48be-a37d-45ad5ecf101c;book3_thucydides_utf8.txt;Athenians;char-offset:1240;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
b36f0b46-c68f-4537-8379-6d971d62d2d9;book3_thucydides_utf8.txt;Mitylenians;char-offset:1259;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
87f96285-79eb-4ac2-bf05-f447d747da2c;book3_thucydides_utf8.txt;Boeotians;char-offset:1416;PERSON;group|origin:Boetia|pleiades:540689|side:Sparthan
62b68094-a396-4eac-a70b-05cdf502ae7a;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:1448;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
c0b3691f-7807-4bb7-be53-e94fbcb431e2;book3_thucydides_utf8.txt;Athenians;char-offset:1579;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
f9e3932a-ce57-4b36-9da3-410292ad4fa4;book3_thucydides_utf8.txt;Mitylenians;char-offset:1961;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
b6a15203-4083-470c-ba59-4f1ee386c14c;book3_thucydides_utf8.txt;Cleippides;char-offset:2209;PERSON;origin:Athens|pleiades:579885|side:Athenian
123ab5b2-b428-497a-a4a1-3365bf1a352b;book3_thucydides_utf8.txt;Deinias;char-offset:2228;PERSON;origin:Athens|pleiades:579885|side:Athenian
0da9b188-c54f-4044-98f3-dea02a38b765;book3_thucydides_utf8.txt;Mitylenians;char-offset:2542;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
d1353a91-3696-4300-b34a-00f8bc381aae;book3_thucydides_utf8.txt;Mitylenians;char-offset:2735;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
07676771-c3cc-4c49-ae1f-02386e1fba03;book3_thucydides_utf8.txt;Athenians;char-offset:2832;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
194ddbf3-e9ec-4712-ad19-70351b6d3351;book3_thucydides_utf8.txt;Mitylenians;char-offset:2895;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
be79f58c-d9ac-4834-9c4a-7ea9e2a1c1b3;book3_thucydides_utf8.txt;Mitylenians;char-offset:3166;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
b1d7f020-8ac1-4477-bc58-eb868773ef3a;book3_thucydides_utf8.txt;Athenians;char-offset:3348;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
d6b89ae4-34cc-4a6d-a77b-f46b99adb513;book3_thucydides_utf8.txt;Mitylenians;char-offset:3459;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
4a9c9f12-cd39-46c8-abf5-40b98834ebb8;book3_thucydides_utf8.txt;Mitylenians;char-offset:3520;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
49f6f16c-210f-4ea7-8627-d6797bb9cf86;book3_thucydides_utf8.txt;Athenian commanders;char-offset:3883;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
190166f0-233b-48ae-810e-e13a8ac2b9ad;book3_thucydides_utf8.txt;Mitylenians;char-offset:4061;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
ade571c6-8088-42d8-a1c4-1f8b27c11c8e;book3_thucydides_utf8.txt;Athenians;char-offset:4188;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
90132604-41ab-419e-95d1-ec81424fb8c2;book3_thucydides_utf8.txt;Mitylenians;char-offset:4739;PERSON;origin:Mytilene|group|pleiades:550763|side:Sparthan
29f0fa1c-1664-490a-8d86-8ec31cff3590;book3_thucydides_utf8.txt;Athenians;char-offset:4841;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
837ae33a-bfec-4b60-adb3-8795f2d4d58f;book3_thucydides_utf8.txt;Imbrians;char-offset:4860;PERSON;group|origin:Imbros|pleiades:501439|side:Athenian
