annotation_id,annotation_uri,pleiades_place_id,pleiades_place_uri,citation_reference,citation_uri,citation_title,creator,created,place_name,latitude,longitude,location_precision,place_description
16,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#16,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.86,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.86,"Thucydides, The Peloponnesian War 3.86",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
17,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#17,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.86,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.86,"Thucydides, The Peloponnesian War 3.86",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
20,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#20,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.88,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.88,"Thucydides, The Peloponnesian War 3.88",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
21,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#21,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.88,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.88,"Thucydides, The Peloponnesian War 3.88",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
22,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#22,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.90,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.90,"Thucydides, The Peloponnesian War 3.90",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
23,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#23,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.90,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.90,"Thucydides, The Peloponnesian War 3.90",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
24,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#24,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.99,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.99,"Thucydides, The Peloponnesian War 3.99",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
25,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#25,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.99,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.99,"Thucydides, The Peloponnesian War 3.99",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
26,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#26,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.103,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.103,"Thucydides, The Peloponnesian War 3.103",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
27,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#27,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.103,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.103,"Thucydides, The Peloponnesian War 3.103",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
28,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#28,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.115,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115,"Thucydides, The Peloponnesian War 3.115",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
29,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#29,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.115,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115,"Thucydides, The Peloponnesian War 3.115",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
34,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#34,991353,http://pleiades.stoa.org/places/991353#this,greekLit:tlg0003.tlg001.perseus-eng3:3.116,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.116,"Thucydides, The Peloponnesian War 3.116",Perseus Digital Library,2013-10-16,Unknown (991353),,,,
35,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#35,981549,http://pleiades.stoa.org/places/981549#this,greekLit:tlg0003.tlg001.perseus-eng3:3.116,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.116,"Thucydides, The Peloponnesian War 3.116",Perseus Digital Library,2013-10-16,Sicily,37.502959,15.088142,rough,The Roman province of Sicilia (Sicily) was initially organized in 241 BC as a territory with a proconsular governor. The territory fell to the Vandals in AD 440 but was reclaimed by the Byzantines.
349,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#349,550738,http://pleiades.stoa.org/places/550738#this,greekLit:tlg0003.tlg001.perseus-eng3:3.2,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.2,"Thucydides, The Peloponnesian War 3.2",Perseus Digital Library,2013-10-16,Methymna,39.369167,26.176891,precise,"An ancient place, cited: BAtlas 56 C3 Methymna"
