pleiades_place_id,place_name,mention_count,person_count,individual_count,group_count,pct_named,latitude,longitude,location_precision,all_citations
579885,Athens,42,221.0,117.0,104.0,52.9,37.97158606761233,23.72382469700237,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.10; greekLit:tlg0003.tlg001.perseus-eng3:3.101; greekLit:tlg0003.tlg001.perseus-eng3:3.102; greekLit:tlg0003.tlg001.perseus-eng3:3.11; greekLit:tlg0003.tlg001.perseus-eng3:3.114; greekLit:tlg0003.tlg001.perseus-eng3:3.115; greekLit:tlg0003.tlg001.perseus-eng3:3.15; greekLit:tlg0003.tlg001.perseus-eng3:3.16; greekLit:tlg0003.tlg001.perseus-eng3:3.17; greekLit:tlg0003.tlg001.perseus-eng3:3.18; greekLit:tlg0003.tlg001.perseus-eng3:3.2; greekLit:tlg0003.tlg001.perseus-eng3:3.20; greekLit:tlg0003.tlg001.perseus-eng3:3.21; greekLit:tlg0003.tlg001.perseus-eng3:3.24; greekLit:tlg0003.tlg001.perseus-eng3:3.28; greekLit:tlg0003.tlg001.perseus-eng3:3.29; greekLit:tlg0003.tlg001.perseus-eng3:3.3; greekLit:tlg0003.tlg001.perseus-eng3:3.31; greekLit:tlg0003.tlg001.perseus-eng3:3.32; greekLit:tlg0003.tlg001.perseus-eng3:3.33; greekLit:tlg0003.tlg001.perseus-eng3:3.34; greekLit:tlg0003.tlg001.perseus-eng3:3.35; greekLit:tlg0003.tlg001.perseus-eng3:3.36; greekLit:tlg0003.tlg001.perseus-eng3:3.4; greekLit:tlg0003.tlg001.perseus-eng3:3.44; greekLit:tlg0003.tlg001.perseus-eng3:3.5; greekLit:tlg0003.tlg001.perseus-eng3:3.50; greekLit:tlg0003.tlg001.perseus-eng3:3.52; greekLit:tlg0003.tlg001.perseus-eng3:3.56; greekLit:tlg0003.tlg001.perseus-eng3:3.63; greekLit:tlg0003.tlg001.perseus-eng3:3.68; greekLit:tlg0003.tlg001.perseus-eng3:3.69; greekLit:tlg0003.tlg001.perseus-eng3:3.70; greekLit:tlg0003.tlg001.perseus-eng3:3.71; greekLit:tlg0003.tlg001.perseus-eng3:3.75; greekLit:tlg0003.tlg001.perseus-eng3:3.86; greekLit:tlg0003.tlg001.perseus-eng3:3.87; greekLit:tlg0003.tlg001.perseus-eng3:3.91; greekLit:tlg0003.tlg001.perseus-eng3:3.92; greekLit:tlg0003.tlg001.perseus-eng3:3.93; greekLit:tlg0003.tlg001.perseus-eng3:3.95; greekLit:tlg0003.tlg001.perseus-eng3:3.98
570685,Sparta,23,124.0,52.0,72.0,36.5,37.08184552460426,22.42468254617709,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.100; greekLit:tlg0003.tlg001.perseus-eng3:3.102; greekLit:tlg0003.tlg001.perseus-eng3:3.25; greekLit:tlg0003.tlg001.perseus-eng3:3.28; greekLit:tlg0003.tlg001.perseus-eng3:3.4; greekLit:tlg0003.tlg001.perseus-eng3:3.52; greekLit:tlg0003.tlg001.perseus-eng3:3.63; greekLit:tlg0003.tlg001.perseus-eng3:3.7; greekLit:tlg0003.tlg001.perseus-eng3:3.85; greekLit:tlg0003.tlg001.perseus-eng3:3.92
550696,Lesbos,11,10.0,0.0,10.0,0.0,39.17745702212158,26.23747554008452,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.13; greekLit:tlg0003.tlg001.perseus-eng3:3.16; greekLit:tlg0003.tlg001.perseus-eng3:3.2; greekLit:tlg0003.tlg001.perseus-eng3:3.26; greekLit:tlg0003.tlg001.perseus-eng3:3.3; greekLit:tlg0003.tlg001.perseus-eng3:3.35; greekLit:tlg0003.tlg001.perseus-eng3:3.4; greekLit:tlg0003.tlg001.perseus-eng3:3.49; greekLit:tlg0003.tlg001.perseus-eng3:3.5; greekLit:tlg0003.tlg001.perseus-eng3:3.50; greekLit:tlg0003.tlg001.perseus-eng3:3.51
240868,Attica,8,,,,,,,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.1; greekLit:tlg0003.tlg001.perseus-eng3:3.13; greekLit:tlg0003.tlg001.perseus-eng3:3.15; greekLit:tlg0003.tlg001.perseus-eng3:3.17; greekLit:tlg0003.tlg001.perseus-eng3:3.25; greekLit:tlg0003.tlg001.perseus-eng3:3.26; greekLit:tlg0003.tlg001.perseus-eng3:3.34; greekLit:tlg0003.tlg001.perseus-eng3:3.89
991353,Unknown (991353),7,,,,,,,,greekLit:tlg0003.tlg001.perseus-eng3:3.103; greekLit:tlg0003.tlg001.perseus-eng3:3.115; greekLit:tlg0003.tlg001.perseus-eng3:3.116; greekLit:tlg0003.tlg001.perseus-eng3:3.86; greekLit:tlg0003.tlg001.perseus-eng3:3.88; greekLit:tlg0003.tlg001.perseus-eng3:3.90; greekLit:tlg0003.tlg001.perseus-eng3:3.99
981549,Sicily,7,,,,,37.502959,15.088142,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.103; greekLit:tlg0003.tlg001.perseus-eng3:3.115; greekLit:tlg0003.tlg001.perseus-eng3:3.116; greekLit:tlg0003.tlg001.perseus-eng3:3.86; greekLit:tlg0003.tlg001.perseus-eng3:3.88; greekLit:tlg0003.tlg001.perseus-eng3:3.90; greekLit:tlg0003.tlg001.perseus-eng3:3.99
530975,Leucas,6,3.0,0.0,3.0,0.0,38.698754550170605,20.65365223867039,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.102; greekLit:tlg0003.tlg001.perseus-eng3:3.7; greekLit:tlg0003.tlg001.perseus-eng3:3.80; greekLit:tlg0003.tlg001.perseus-eng3:3.81; greekLit:tlg0003.tlg001.perseus-eng3:3.94; greekLit:tlg0003.tlg001.perseus-eng3:3.95
570106,Argos,6,1.0,0.0,1.0,0.0,37.63104688932719,22.720380240841404,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.102; greekLit:tlg0003.tlg001.perseus-eng3:3.105; greekLit:tlg0003.tlg001.perseus-eng3:3.106; greekLit:tlg0003.tlg001.perseus-eng3:3.107; greekLit:tlg0003.tlg001.perseus-eng3:3.108; greekLit:tlg0003.tlg001.perseus-eng3:3.112
540775,Euboea,6,,,,,38.53,23.87,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.17; greekLit:tlg0003.tlg001.perseus-eng3:3.3; greekLit:tlg0003.tlg001.perseus-eng3:3.87; greekLit:tlg0003.tlg001.perseus-eng3:3.89; greekLit:tlg0003.tlg001.perseus-eng3:3.92; greekLit:tlg0003.tlg001.perseus-eng3:3.93
1001896,Hellas,5,,,,,37.5,22.5,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.32; greekLit:tlg0003.tlg001.perseus-eng3:3.54; greekLit:tlg0003.tlg001.perseus-eng3:3.57; greekLit:tlg0003.tlg001.perseus-eng3:3.62; greekLit:tlg0003.tlg001.perseus-eng3:3.63
